# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  6.064629e+00    2.424766e+09
  6.068705e+00    2.421655e+09
  6.072781e+00    2.417289e+09
  6.076857e+00    2.419202e+09
  6.080934e+00    2.417823e+09
  6.085010e+00    2.418369e+09
  6.089086e+00    2.416387e+09
  6.093162e+00    2.415091e+09
  6.097239e+00    2.411837e+09
  6.101315e+00    2.410358e+09
  6.105391e+00    2.410656e+09
  6.109467e+00    2.409025e+09
  6.113544e+00    2.411715e+09
  6.117620e+00    2.416033e+09
  6.121696e+00    2.417337e+09
  6.125773e+00    2.417254e+09
  6.129849e+00    2.412121e+09
  6.133925e+00    2.407928e+09
  6.138001e+00    2.401959e+09
  6.142078e+00    2.400684e+09
  6.146154e+00    2.397375e+09
  6.150230e+00    2.396251e+09
  6.154306e+00    2.390593e+09
  6.158383e+00    2.387830e+09
  6.162459e+00    2.385424e+09
  6.166535e+00    2.383800e+09
  6.170611e+00    2.379100e+09
  6.174688e+00    2.371006e+09
  6.178764e+00    2.366609e+09
  6.182840e+00    2.365371e+09
  6.186917e+00    2.367021e+09
  6.190993e+00    2.364282e+09
  6.195069e+00    2.359870e+09
  6.199145e+00    2.360657e+09
  6.203222e+00    2.358505e+09
  6.207298e+00    2.355081e+09
  6.211374e+00    2.347001e+09
  6.215450e+00    2.346167e+09
  6.219527e+00    2.343037e+09
  6.223603e+00    2.341928e+09
  6.227679e+00    2.339677e+09
  6.231755e+00    2.343277e+09
  6.235832e+00    2.344046e+09
  6.239908e+00    2.346319e+09
  6.243984e+00    2.342594e+09
  6.248060e+00    2.342195e+09
  6.252137e+00    2.340865e+09
  6.256213e+00    2.343879e+09
  6.260289e+00    2.341841e+09
  6.264366e+00    2.341096e+09
  6.268442e+00    2.338417e+09
  6.272518e+00    2.337315e+09
  6.276594e+00    2.332817e+09
  6.280671e+00    2.324902e+09
  6.284747e+00    2.322058e+09
  6.288823e+00    2.324067e+09
  6.292899e+00    2.328676e+09
  6.296976e+00    2.328803e+09
  6.301052e+00    2.328710e+09
  6.305128e+00    2.327755e+09
  6.309204e+00    2.326620e+09
  6.313281e+00    2.324571e+09
  6.317357e+00    2.321760e+09
  6.321433e+00    2.318539e+09
  6.325510e+00    2.315606e+09
  6.329586e+00    2.313594e+09
  6.333662e+00    2.312167e+09
  6.337738e+00    2.310970e+09
  6.341815e+00    2.309707e+09
  6.345891e+00    2.308049e+09
  6.349967e+00    2.306677e+09
  6.354043e+00    2.305630e+09
  6.358120e+00    2.304624e+09
  6.362196e+00    2.304111e+09
  6.366272e+00    2.304305e+09
  6.370348e+00    2.304494e+09
  6.374425e+00    2.306570e+09
  6.378501e+00    2.313727e+09
  6.382577e+00    2.312556e+09
  6.386654e+00    2.308676e+09
  6.390730e+00    2.305823e+09
  6.394806e+00    2.304936e+09
  6.398882e+00    2.301110e+09
  6.402959e+00    2.297140e+09
  6.407035e+00    2.300724e+09
  6.411111e+00    2.301238e+09
  6.415187e+00    2.296418e+09
  6.419264e+00    2.290042e+09
  6.423340e+00    2.293280e+09
  6.427416e+00    2.299076e+09
  6.431492e+00    2.299329e+09
  6.435569e+00    2.295980e+09
  6.439645e+00    2.295181e+09
  6.443721e+00    2.293784e+09
  6.447798e+00    2.292760e+09
  6.451874e+00    2.290201e+09
  6.455950e+00    2.293597e+09
  6.460026e+00    2.295590e+09
  6.464103e+00    2.295521e+09
  6.468179e+00    2.291666e+09
  6.472255e+00    2.288910e+09
  6.476331e+00    2.287792e+09
  6.480408e+00    2.285193e+09
  6.484484e+00    2.286648e+09
  6.488560e+00    2.287813e+09
  6.492636e+00    2.286311e+09
  6.496713e+00    2.282562e+09
  6.500789e+00    2.278325e+09
  6.504865e+00    2.280338e+09
  6.508941e+00    2.281315e+09
  6.513018e+00    2.283007e+09
  6.517094e+00    2.279598e+09
  6.521170e+00    2.280178e+09
  6.525247e+00    2.279162e+09
  6.529323e+00    2.274768e+09
  6.533399e+00    2.265803e+09
  6.537475e+00    2.259960e+09
  6.541552e+00    2.259104e+09
  6.545628e+00    2.262951e+09
  6.549704e+00    2.260757e+09
  6.553780e+00    2.255883e+09
  6.557857e+00    2.249976e+09
  6.561933e+00    2.250558e+09
  6.566009e+00    2.254814e+09
  6.570085e+00    2.257166e+09
  6.574162e+00    2.256518e+09
